Date,Dernier,Ouv, Plus Haut,Plus Bas,Vol,Variation
01/11/2022,1.0337,0.9886,1.0477,0.9730,,4.59
01/10/2022,0.9883,0.9800,1.0094,0.9632,,0.86
01/09/2022,0.9799,1.0055,1.0199,0.9535,,-2.57
01/08/2022,1.0057,1.0218,1.0369,0.9900,,-1.58
01/07/2022,1.0218,1.0481,1.0487,0.9952,,-2.52
01/06/2022,1.0482,1.0734,1.0775,1.0359,,-2.34
01/05/2022,1.0733,1.0550,1.0788,1.0350,,1.82
01/04/2022,1.0541,1.1065,1.1077,1.0471,,-4.74
01/03/2022,1.1065,1.1218,1.1234,1.0805,,-1.37
01/02/2022,1.1219,1.1234,1.1496,1.1106,,-0.12
01/01/2022,1.1233,1.1365,1.1484,1.1121,,-1.19
01/12/2021,1.1368,1.1339,1.1387,1.1221,,0.28
01/11/2021,1.1336,1.1559,1.1617,1.1185,,-1.95
01/10/2021,1.1561,1.1582,1.1693,1.1524,,-0.17
01/09/2021,1.1581,1.1810,1.1910,1.1562,,-1.91
01/08/2021,1.1807,1.1864,1.1901,1.1664,,-0.53
01/07/2021,1.1870,1.1859,1.1910,1.1752,,0.13
01/06/2021,1.1855,1.2227,1.2255,1.1845,,-3.03
01/05/2021,1.2225,1.2031,1.2267,1.1985,,1.72
01/04/2021,1.2018,1.1731,1.2150,1.1712,,2.47
01/03/2021,1.1728,1.2079,1.2113,1.1703,,-2.87
01/02/2021,1.2074,1.2140,1.2243,1.1952,,-0.51
01/01/2021,1.2136,1.2216,1.2350,1.2054,,-0.63
01/12/2020,1.2213,1.1928,1.2311,1.1926,,2.39
